,UserID,Buy_ticket,Yearly_avg_view_on_travel_page,preferred_device,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,member_in_family,preferred_location_type,Yearly_avg_comment_on_travel_page,total_likes_on_outofstation_checkin_received,week_since_last_outstation_checkin,following_company_page,montly_avg_comment_on_company_page,working_flag,travelling_network_rating,number_of_adults,Daily_Avg_mins_spend_on_traveling_page
20,1000021,No,180.0,Mobile,23555.0,11,2,Other,96.0,4011.0,0.0,No,18.0,No,4.0,1.0,5.0
21,1000022,Yes,270.0,Mobile,42630.0,1,4,Financial,82.0,3407.0,7.0,No,23.0,Yes,2.0,0.0,10.0
22,1000023,No,255.0,Mobile,14665.0,1,4,Financial,53.0,11994.0,0.0,No,11.0,No,3.0,0.0,13.0
23,1000024,No,157.0,Mobile,13685.0,15,2,Financial,96.0,1232.0,1.0,No,14.0,No,4.0,0.0,0.0
24,1000025,Yes,255.0,Mobile,24465.0,1,1,Medical,83.0,2960.0,2.0,No,11.0,No,3.0,0.0,8.0
25,1000026,No,397.0,Mobile,44870.0,1,3,Entertainment,58.0,16575.125,4.0,No,11.0,No,4.0,1.0,26.0
26,1000027,Yes,240.0,Mobile,39375.0,16,1,Financial,72.0,3919.0,1.0,Yes,22.0,Yes,2.0,0.0,10.0
28,1000029,No,330.0,Mobile,16695.0,1,4,Medical,42.0,10248.0,3.0,No,14.0,No,4.0,1.0,24.0
31,1000032,No,330.0,Mobile,51065.0,10,4,Other,41.0,6465.0,2.0,Yes,13.0,No,4.0,0.0,9.0
32,1000033,No,225.0,Mobile,4375.0,1,2,Medical,83.0,2206.0,1.0,No,13.0,No,1.0,0.0,10.0
33,1000034,Yes,292.0,Mobile,31325.0,1,3,Entertainment,56.0,2086.0,3.0,No,14.0,No,3.0,1.0,19.0
34,1000035,Yes,180.0,Mobile,28455.0,1,3,Medical,61.0,2293.0,2.0,Yes,16.0,No,1.0,1.0,6.0
35,1000036,No,322.0,Mobile,44555.0,1,2,Medical,72.0,2645.0,1.0,No,12.0,No,4.0,2.0,6.0
36,1000037,Yes,375.0,Mobile,30415.0,1,2,Entertainment,86.0,2683.0,1.0,Yes,14.0,No,3.0,0.0,3.0
37,1000038,No,262.0,Mobile,31150.0,1,3,Entertainment,97.0,2014.0,1.0,No,13.0,No,1.0,0.0,2.0
38,1000039,No,270.0,Mobile,29820.0,1,4,Financial,82.0,3419.0,9.0,Yes,14.0,No,4.0,1.0,6.0
39,1000040,No,247.0,Mobile,39935.0,1,3,Financial,42.0,5376.0,2.0,No,19.0,No,1.0,2.0,10.0
40,1000041,No,262.0,Mobile,16240.0,1,2,Other,75.0,1951.0,1.0,No,12.0,No,3.0,1.0,1.0
41,1000042,No,202.0,Mobile,43400.0,1,4,Financial,33.0,2341.0,1.0,No,13.0,No,4.0,1.0,1.0
42,1000043,Yes,195.0,Mobile,47495.0,25,3,Financial,48.0,2293.0,1.0,No,12.0,No,3.0,0.0,1.0
43,1000044,No,202.0,Mobile,34790.0,1,3,Financial,37.0,8726.0,1.0,No,15.0,No,4.0,0.0,9.0
44,1000045,No,225.0,Mobile,25235.0,1,2,Medical,58.0,4011.0,1.0,No,23.0,Yes,4.0,0.0,12.0
45,1000046,Yes,307.0,Mobile,47600.0,12,3,Entertainment,49.0,16575.125,1.0,No,12.0,No,4.0,0.0,23.0
51,1000052,Yes,210.0,Mobile,50190.0,1,4,Entertainment,50.0,3441.0,1.0,Yes,13.0,No,3.0,0.0,2.0
52,1000053,No,330.0,Mobile,52080.0,1,5,Entertainment,75.0,5454.0,5.0,Yes,21.0,Yes,3.0,1.0,9.0
53,1000054,No,262.0,Mobile,38395.0,11,2,Medical,79.0,9884.0,2.0,Yes,13.0,No,3.0,1.0,10.0
54,1000055,No,195.0,Mobile,50505.0,23,3,Entertainment,47.0,4157.0,7.0,Yes,19.0,No,3.0,1.0,5.0
55,1000056,No,247.0,Mobile,18025.0,1,2,Financial,98.0,13458.0,1.0,Yes,12.0,No,3.0,0.0,15.0
56,1000057,No,262.0,Mobile,29855.0,18,5,Financial,71.0,9069.0,1.0,No,22.0,Yes,4.0,1.0,9.0
57,1000058,No,262.0,Mobile,39970.0,23,4,Medical,3.0,4014.0,3.0,Yes,15.0,No,3.0,1.0,4.0
58,1000059,No,232.0,Mobile,22925.0,1,4,Financial,48.0,5915.0,3.0,No,22.0,Yes,4.0,1.0,10.0
59,1000060,No,277.0,Mobile,39025.0,1,4,Financial,51.0,5993.0,1.0,No,18.0,No,3.0,1.0,7.0
60,1000061,No,240.0,Mobile,14945.0,1,3,Medical,33.0,6162.0,1.0,Yes,22.0,Yes,2.0,1.0,9.0
61,1000062,No,285.0,Mobile,22855.0,29,5,Financial,50.0,2406.0,1.0,No,11.0,No,4.0,0.0,10.0
62,1000063,No,375.0,Mobile,34615.0,1,2,Medical,43.0,16575.125,5.0,Yes,12.0,No,4.0,1.0,29.0
65,1000066,No,412.0,Mobile,29260.0,1,3,Medical,33.0,14756.0,2.0,Yes,14.0,No,3.0,3.0,21.0
66,1000067,No,270.0,Mobile,41825.0,11,3,Financial,95.0,6499.0,1.0,No,13.0,No,3.0,0.0,6.0
68,1000069,No,262.0,Mobile,23240.0,1,3,Medical,79.0,2194.0,4.0,No,13.0,No,4.0,1.0,5.0
69,1000070,Yes,270.0,Mobile,11130.0,1,3,Medical,79.0,3388.0,0.0,Yes,17.0,No,1.0,1.0,2.0
72,1000073,No,232.0,Mobile,37870.0,1,4,Medical,87.0,2501.0,1.0,No,17.0,No,2.0,0.0,1.0
73,1000074,No,240.0,Mobile,19180.0,1,3,Financial,66.0,6220.0,1.0,No,17.0,No,2.0,2.0,10.0
74,1000075,No,270.0,Mobile,4620.0,1,3,Financial,55.0,3038.0,3.0,No,12.0,No,2.0,0.0,5.0
75,1000076,No,232.0,Mobile,26110.0,1,4,Financial,61.0,4424.0,1.0,No,23.0,Yes,4.0,0.0,11.0
76,1000077,No,262.0,Mobile,27160.0,1,4,Entertainment,32.0,4312.0,0.0,No,14.0,No,2.0,0.0,16.0
78,1000079,No,277.0,Mobile,13895.0,1,4,Medical,3.0,13664.0,4.0,No,13.0,No,1.0,0.0,16.0
79,1000080,No,345.0,Mobile,33075.0,1,2,Medical,80.0,5021.0,8.0,Yes,22.0,Yes,4.0,1.0,16.0
80,1000081,No,225.0,Mobile,29820.0,1,1,Financial,55.0,5126.0,1.0,Yes,12.0,No,3.0,2.0,10.0
81,1000082,No,262.0,Mobile,42490.0,1,3,Medical,3.0,2859.0,1.0,No,18.0,No,1.0,0.0,6.0
82,1000083,No,412.0,Mobile,3885.0,1,2,Financial,70.0,10239.0,3.0,No,14.0,No,4.0,1.0,24.0
83,1000084,No,285.0,Mobile,20055.0,1,3,Medical,79.0,5329.0,7.0,Yes,12.0,No,4.0,3.0,17.0
84,1000085,No,255.0,Mobile,40355.0,1,2,Medical,94.0,4325.0,1.0,No,15.0,No,3.0,0.0,5.0
87,1000088,No,382.0,Mobile,15120.0,1,4,Financial,96.0,2075.0,3.0,No,23.0,Yes,2.0,2.0,10.0
88,1000089,No,225.0,Mobile,10080.0,1,3,Financial,99.0,4152.0,1.0,No,19.0,No,1.0,3.0,11.0
89,1000090,Yes,345.0,Mobile,23415.0,1,2,Medical,64.0,9619.0,1.0,No,16.0,No,4.0,0.0,9.0
90,1000091,No,300.0,Mobile,18550.0,1,4,Financial,78.0,13503.0,1.0,No,22.0,Yes,4.0,1.0,22.0
91,1000092,No,382.0,Mobile,22120.0,21,4,Entertainment,71.0,5441.0,0.0,Yes,22.0,Yes,4.0,0.0,11.0
92,1000093,No,225.0,Mobile,46690.0,1,2,Medical,63.0,5209.0,1.0,Yes,12.0,No,2.0,3.0,11.0
93,1000094,No,345.0,Mobile,22330.0,1,3,Medical,40.0,10673.0,2.0,Yes,13.0,No,3.0,1.0,21.0
94,1000095,No,240.0,Mobile,38255.0,1,4,Medical,87.0,5010.0,1.0,No,16.0,No,1.0,0.0,12.0
95,1000096,No,405.0,Mobile,42595.0,1,4,Entertainment,60.0,13549.0,9.0,No,12.0,No,1.0,1.0,16.0
98,1000099,No,435.0,Mobile,23870.0,10,4,Medical,37.0,13872.0,0.0,No,13.0,No,3.0,0.0,33.0
99,1000100,No,330.0,Mobile,17115.0,23,3,Medical,67.0,2042.0,4.0,No,12.0,No,3.0,1.0,17.0
100,1000101,Yes,277.0,Mobile,28245.0,1,4,Other,63.0,2073.0,4.0,Yes,22.0,Yes,4.0,0.0,7.0
101,1000102,No,240.0,Mobile,28945.0,1,1,Financial,71.0,2956.0,1.0,No,13.0,No,4.0,0.0,1.0
102,1000103,Yes,150.0,Mobile,30485.0,1,3,Financial,66.0,2926.0,1.0,Yes,18.0,No,2.0,0.0,1.0
103,1000104,No,255.0,Mobile,23275.0,1,4,Other,41.0,4809.0,1.0,No,14.0,No,3.0,0.0,16.0
104,1000105,No,277.0,Mobile,36400.0,1,2,Financial,100.0,5163.0,5.0,No,14.0,No,4.0,1.0,17.0
106,1000107,No,375.0,Mobile,39025.0,1,3,Financial,73.0,16575.125,3.0,Yes,19.0,No,1.0,0.0,28.0
107,1000108,Yes,187.0,Mobile,8400.0,1,3,Entertainment,46.0,5744.0,1.0,Yes,11.0,No,4.0,0.0,6.0
108,1000109,No,187.0,Mobile,44800.0,1,1,Medical,64.0,2889.0,1.0,No,11.0,No,3.0,2.0,2.0
109,1000110,No,165.0,Mobile,18690.0,15,3,Medical,59.0,2871.0,1.0,No,15.0,No,3.0,0.0,1.0
110,1000111,No,382.0,Mobile,50960.0,1,4,Medical,3.0,7484.0,3.0,No,20.0,Yes,3.0,0.0,23.0
111,1000112,Yes,255.0,Mobile,23030.0,1,3,Financial,66.0,6074.0,1.0,Yes,24.0,Yes,4.0,0.0,9.0
112,1000113,No,405.0,Mobile,4970.0,26,3,Other,3.0,16575.125,2.0,Yes,12.0,No,3.0,0.0,23.0
113,1000114,No,180.0,Mobile,39445.0,18,1,Financial,52.0,2774.0,0.0,No,12.0,No,3.0,1.0,6.0
114,1000115,No,255.0,Mobile,36085.0,1,4,Financial,45.0,4505.0,6.0,No,15.0,No,3.0,1.0,12.0
115,1000116,No,277.0,Mobile,41615.0,1,3,Financial,87.0,7428.0,2.0,No,12.0,No,1.0,0.0,12.0
116,1000117,No,255.0,Mobile,47390.0,1,3,Medical,45.0,11631.0,2.0,No,12.0,No,4.0,0.0,14.0
117,1000118,No,270.0,Mobile,51345.0,11,2,Entertainment,92.0,9738.0,0.0,No,14.0,No,3.0,1.0,10.0
118,1000119,No,270.0,Mobile,32270.0,1,2,Financial,39.0,2835.0,5.0,No,22.0,Yes,1.0,1.0,7.0
123,1000124,No,382.0,Mobile,23940.0,1,3,Financial,51.0,16575.125,7.0,No,13.0,No,3.0,0.0,23.0
124,1000125,Yes,232.0,Mobile,8715.0,1,4,Financial,76.0,6172.0,4.0,Yes,18.0,No,2.0,0.0,12.0
125,1000126,No,195.0,Mobile,29435.0,1,3,Other,46.0,2368.0,1.0,No,19.0,No,3.0,0.0,5.0
126,1000127,Yes,435.0,Mobile,5145.0,23,4,Medical,94.0,10312.0,1.0,No,12.0,No,4.0,1.0,33.0
127,1000128,Yes,92.5,Mobile,18480.0,22,1,Entertainment,50.0,1675.0,1.0,Yes,19.0,No,4.0,0.0,0.0
128,1000129,No,165.0,Mobile,20790.0,1,1,Entertainment,100.0,2523.0,0.0,No,14.0,No,3.0,1.0,3.0
129,1000130,No,367.0,Mobile,16450.0,20,4,Medical,96.0,6567.0,1.0,No,14.0,No,3.0,0.0,16.0
130,1000131,No,322.0,Mobile,33495.0,28,3,Medical,72.0,4739.0,4.0,No,12.0,No,4.0,0.0,18.0
131,1000132,No,375.0,Mobile,28315.0,12,3,Entertainment,77.0,9208.0,4.0,No,11.0,No,4.0,0.0,16.0
132,1000133,Yes,232.0,Mobile,18970.0,20,3,Financial,71.0,4559.0,3.0,Yes,11.0,No,3.0,1.0,4.0
133,1000134,No,307.0,Mobile,28070.0,1,1,Financial,96.0,8189.0,3.0,Yes,13.0,No,3.0,1.0,12.0
134,1000135,No,195.0,Mobile,47425.0,25,1,Financial,61.0,2942.0,1.0,No,23.0,Yes,4.0,1.0,8.0
135,1000136,No,270.0,Mobile,7560.0,1,2,Medical,84.0,4941.0,6.0,No,20.0,Yes,4.0,2.0,7.0
136,1000137,Yes,382.0,Mobile,40250.0,1,4,Financial,53.0,10650.0,2.0,No,15.0,No,4.0,0.0,18.0
140,1000141,Yes,240.0,Mobile,36155.0,1,3,Medical,41.0,4200.0,7.0,No,22.0,Yes,1.0,0.0,10.0
142,1000143,No,285.0,Mobile,12740.0,1,5,Entertainment,32.0,4317.0,3.0,Yes,20.0,Yes,2.0,0.0,19.0
143,1000144,No,225.0,Mobile,15330.0,18,3,Financial,75.0,2632.0,1.0,No,14.0,No,3.0,0.0,5.0
147,1000148,No,307.0,Mobile,29995.0,10,3,Financial,91.0,16575.125,4.0,No,13.0,No,2.0,1.0,21.0
148,1000149,No,307.0,Mobile,32655.0,1,4,Financial,94.0,2238.0,2.0,No,21.0,Yes,4.0,1.0,7.0
152,1000153,No,397.0,Mobile,50260.0,1,2,Entertainment,34.0,2306.0,2.0,Yes,20.0,Yes,4.0,1.0,13.0
154,1000155,No,240.0,Mobile,33845.0,1,3,Entertainment,43.0,8998.0,1.0,No,14.0,No,4.0,0.0,9.0
155,1000156,No,217.0,Mobile,52360.0,1,1,Entertainment,41.0,4319.0,1.0,No,13.0,No,1.0,1.0,10.0
156,1000157,No,382.0,Mobile,40915.0,1,4,Medical,34.0,6132.0,2.0,No,17.0,No,3.0,0.0,10.0
157,1000158,No,435.0,Mobile,40075.0,1,3,Medical,75.0,3346.0,4.0,Yes,20.0,Yes,2.0,1.0,9.0
158,1000159,No,300.0,Mobile,22050.0,1,4,Entertainment,67.0,10855.0,7.0,No,11.0,No,1.0,1.0,15.0
159,1000160,No,255.0,Mobile,10605.0,1,4,Entertainment,75.0,2231.0,6.0,No,18.0,No,4.0,1.0,6.0
161,1000162,No,202.0,Mobile,24185.0,1,3,Medical,57.0,2024.0,6.0,No,18.0,No,4.0,1.0,6.0
164,1000165,No,202.0,Mobile,50750.0,1,3,Medical,79.0,2566.0,1.0,Yes,15.0,No,4.0,1.0,1.0
165,1000166,No,375.0,Mobile,50820.0,11,3,Financial,53.0,16575.125,3.0,No,15.0,No,2.0,0.0,21.0
166,1000167,No,307.0,Mobile,16275.0,14,3,Financial,56.0,2451.0,4.0,No,12.0,No,1.0,1.0,13.0
171,1000172,Yes,92.5,Mobile,21070.0,1,1,Entertainment,100.0,2325.0,0.0,No,21.0,Yes,1.0,0.0,1.0
172,1000173,No,270.0,Mobile,51800.0,1,2,Medical,3.0,2088.0,4.0,No,12.0,No,3.0,0.0,13.0
173,1000174,No,225.0,Mobile,3885.0,1,3,Medical,66.0,3072.0,1.0,No,11.0,No,3.0,2.0,12.0
176,1000177,No,247.0,Mobile,4690.0,1,3,Financial,90.0,2500.0,0.0,No,14.0,No,1.0,0.0,4.0
177,1000178,Yes,92.5,Mobile,10605.0,1,3,Financial,47.0,1102.0,1.0,No,22.0,Yes,3.0,0.0,1.0
178,1000179,No,345.0,Mobile,18410.0,1,2,Entertainment,92.0,10453.0,1.0,No,25.0,Yes,3.0,3.0,24.0
179,1000180,No,285.0,Mobile,48300.0,1,2,Financial,75.0,2288.0,1.0,No,12.0,No,3.0,0.0,2.0
180,1000181,No,232.0,Mobile,4900.0,12,1,Medical,95.0,3929.0,8.0,Yes,23.0,Yes,3.0,1.0,7.0
181,1000182,No,255.0,Mobile,22015.0,27,2,Medical,95.0,2311.0,2.0,No,15.0,No,4.0,0.0,9.0
182,1000183,Yes,307.0,Mobile,47460.0,20,2,Entertainment,70.0,3140.0,1.0,Yes,22.0,Yes,4.0,0.0,4.0
183,1000184,No,375.0,Mobile,11480.0,1,3,Medical,86.0,3690.0,2.0,No,15.0,No,4.0,1.0,5.0
184,1000185,No,397.0,Mobile,37940.0,13,2,Medical,57.0,4450.0,1.0,No,11.0,No,3.0,2.0,5.0
185,1000186,No,247.0,Mobile,32585.0,14,3,Medical,72.0,2756.0,1.0,No,13.0,No,4.0,1.0,8.0
186,1000187,No,300.0,Mobile,34615.0,1,10,Medical,46.0,16575.125,1.0,No,14.0,No,2.0,1.0,21.0
187,1000188,No,412.0,Mobile,24220.0,14,4,Medical,61.0,16575.125,8.0,No,11.0,No,4.0,0.0,33.0
188,1000189,No,255.0,Mobile,37415.0,1,1,Financial,45.0,9547.0,1.0,No,17.0,No,3.0,0.0,10.0
189,1000190,No,382.0,Mobile,10955.0,1,3,Medical,98.0,13734.0,3.0,No,18.0,No,3.0,0.0,21.0
191,1000192,No,202.0,Mobile,31290.0,1,3,Medical,99.0,2279.0,1.0,No,16.0,No,4.0,0.0,7.0
195,1000196,No,277.0,Mobile,10150.0,21,3,Financial,65.0,3564.0,1.0,Yes,12.0,No,1.0,1.0,8.0
198,1000199,No,285.0,Mobile,44135.0,1,4,Financial,88.0,6553.0,9.0,No,14.0,No,2.0,0.0,14.0
199,1000200,No,285.0,Mobile,37940.0,29,3,Entertainment,54.0,6261.0,3.0,No,18.0,No,1.0,1.0,9.0
200,1000201,No,202.0,Mobile,16520.0,1,1,Entertainment,60.0,4298.0,5.0,No,19.0,No,3.0,1.0,6.0
201,1000202,No,367.0,Mobile,35070.0,18,4,Financial,92.0,6804.0,1.0,Yes,15.0,No,1.0,2.0,7.0
202,1000203,No,255.0,Mobile,30730.0,10,4,Medical,43.0,3815.0,1.0,Yes,17.0,No,4.0,1.0,5.0
203,1000204,No,300.0,Mobile,31675.0,19,2,Medical,99.0,2741.0,8.0,Yes,15.0,No,3.0,1.0,15.0
204,1000205,Yes,285.0,Mobile,41300.0,29,1,Medical,70.0,6673.0,7.0,Yes,19.0,No,2.0,0.0,17.0
205,1000206,Yes,217.0,Mobile,4235.0,27,3,Entertainment,35.0,7639.0,1.0,No,22.0,Yes,4.0,3.0,10.0
206,1000207,No,165.0,Mobile,39760.0,1,3,Financial,60.0,2328.0,1.0,Yes,16.0,No,1.0,1.0,4.0
207,1000208,No,270.0,Mobile,22225.0,18,1,Medical,73.0,2153.0,1.0,No,13.0,No,1.0,0.0,8.0
208,1000209,No,300.0,Mobile,40285.0,1,5,Financial,63.0,4876.0,9.0,No,14.0,No,4.0,1.0,5.0
209,1000210,No,345.0,Mobile,22540.0,1,4,Medical,97.0,9396.0,7.0,No,16.0,No,3.0,1.0,17.0
210,1000211,Yes,240.0,Mobile,36575.0,1,4,Medical,32.0,10400.0,1.0,No,11.0,No,3.0,0.0,14.0
211,1000212,No,225.0,Mobile,29015.0,1,1,Financial,88.0,8474.0,1.0,No,22.0,Yes,3.0,0.0,12.0
212,1000213,No,202.0,Mobile,43470.0,20,3,Financial,90.0,9981.0,1.0,No,14.0,No,4.0,0.0,7.0
213,1000214,No,382.0,Mobile,51415.0,1,4,Financial,81.0,12490.0,5.0,No,16.0,No,4.0,2.0,16.0
214,1000215,Yes,225.0,Mobile,35175.0,1,3,Entertainment,88.0,2657.0,5.0,Yes,11.0,No,3.0,0.0,8.0
219,1000220,No,405.0,Mobile,40145.0,1,3,Entertainment,52.0,5940.0,2.0,No,14.0,No,4.0,1.0,16.0
220,1000221,No,270.0,Mobile,48860.0,1,2,Financial,62.0,5914.0,8.0,No,16.0,No,4.0,0.0,16.0
221,1000222,No,247.0,Mobile,5145.0,1,4,Medical,47.0,2622.0,6.0,No,21.0,Yes,4.0,0.0,7.0
222,1000223,No,277.0,Mobile,23205.0,11,3,Other,47.0,12185.0,1.0,Yes,14.0,No,3.0,3.0,10.0
223,1000224,No,285.0,Mobile,4165.0,1,3,Financial,76.0,10609.0,0.0,No,12.0,No,3.0,2.0,17.0
224,1000225,No,232.0,Mobile,34265.0,1,4,Medical,90.0,4345.0,0.0,No,12.0,No,4.0,1.0,6.0
226,1000227,No,277.0,Mobile,11165.0,1,4,Entertainment,41.0,2793.0,4.0,No,17.0,No,3.0,1.0,13.0
228,1000229,No,262.0,Mobile,33040.0,1,3,Entertainment,92.0,8789.0,1.0,No,14.0,No,1.0,0.0,10.0
229,1000230,Yes,217.0,Mobile,31360.0,18,1,Medical,86.0,2389.0,1.0,Yes,13.0,No,3.0,0.0,4.0
233,1000234,No,375.0,Mobile,29890.0,1,4,Medical,68.0,16575.125,3.0,No,11.0,No,3.0,1.0,32.0
234,1000235,Yes,247.0,Mobile,28455.0,14,3,Medical,58.0,2436.0,5.0,Yes,13.0,No,3.0,1.0,8.0
235,1000236,No,322.0,Mobile,36190.0,16,3,Entertainment,80.0,16064.0,5.0,Yes,22.0,Yes,3.0,1.0,22.0
236,1000237,Yes,247.0,Mobile,16275.0,1,2,Financial,39.0,2707.0,7.0,No,20.0,Yes,1.0,0.0,13.0
243,1000244,No,300.0,Mobile,45500.0,24,2,Entertainment,62.0,3319.0,1.0,No,17.0,No,1.0,2.0,9.0
245,1000246,No,232.0,Mobile,46445.0,1,4,Medical,73.0,13675.0,9.0,No,12.0,No,1.0,1.0,9.0
246,1000247,No,247.0,Mobile,29120.0,1,4,Financial,63.0,2911.0,1.0,No,13.0,No,3.0,1.0,2.0
247,1000248,No,255.0,Mobile,16450.0,1,4,Financial,84.0,5957.0,6.0,No,13.0,No,2.0,1.0,13.0
248,1000249,No,277.0,Mobile,35595.0,1,2,Medical,83.0,3920.0,2.0,No,14.0,No,1.0,1.0,17.0
250,1000251,Yes,277.0,Mobile,17640.0,10,3,Medical,61.0,10048.0,6.0,No,11.0,No,2.0,2.0,17.0
251,1000252,No,292.0,Mobile,17675.0,1,4,Entertainment,64.0,10938.0,0.0,No,25.0,Yes,4.0,0.0,20.0
252,1000253,No,217.0,Mobile,23275.0,15,3,Financial,60.0,2340.0,1.0,No,19.0,No,1.0,0.0,6.0
257,1000258,No,300.0,Mobile,49560.0,1,2,Medical,49.0,16575.125,0.0,No,19.0,No,4.0,1.0,22.0
258,1000259,No,382.0,Mobile,29155.0,1,3,Financial,96.0,2723.0,1.0,No,11.0,No,2.0,0.0,1.0
259,1000260,Yes,232.0,Mobile,10745.0,29,2,Medical,71.0,3479.0,0.0,No,11.0,No,2.0,0.0,6.0
260,1000261,No,240.0,Mobile,45885.0,1,3,Financial,100.0,2794.0,1.0,No,20.0,Yes,3.0,0.0,5.0
261,1000262,No,285.0,Mobile,46445.0,1,2,Financial,39.0,5249.0,3.0,No,18.0,No,4.0,1.0,13.0
262,1000263,No,240.0,Mobile,4480.0,1,1,Entertainment,84.0,2176.0,4.0,No,13.0,No,4.0,0.0,9.0
263,1000264,No,345.0,Mobile,17080.0,1,3,Entertainment,75.0,16575.125,3.0,Yes,12.0,No,2.0,1.0,28.0
267,1000268,No,187.0,Mobile,23625.0,1,2,Financial,85.0,4000.0,1.0,No,12.0,No,4.0,2.0,6.0
269,1000270,No,270.0,Mobile,49105.0,1,3,Financial,47.0,3210.0,0.0,No,11.0,No,3.0,1.0,16.0
270,1000271,No,412.0,Mobile,15820.0,1,3,Medical,81.0,16575.125,0.0,Yes,14.0,No,3.0,0.0,33.0
271,1000272,Yes,352.0,Mobile,23310.0,29,4,Financial,88.0,11849.0,1.0,Yes,12.0,No,4.0,1.0,10.0
272,1000273,No,210.0,Mobile,40530.0,1,3,Medical,94.0,2070.0,1.0,No,23.0,Yes,4.0,1.0,5.0
273,1000274,No,277.0,Mobile,7980.0,1,4,Medical,98.0,6502.0,4.0,No,14.0,No,2.0,1.0,7.0
274,1000275,No,157.0,Mobile,34860.0,1,2,Medical,100.0,3230.0,1.0,No,17.0,No,1.0,0.0,3.0
275,1000276,No,277.0,Mobile,25480.0,1,4,Medical,80.0,13603.0,2.0,Yes,18.0,No,1.0,2.0,15.0
276,1000277,No,262.0,Mobile,46025.0,22,3,Financial,71.0,11996.0,7.0,No,18.0,No,2.0,1.0,10.0
278,1000279,No,195.0,Mobile,51765.0,1,3,Financial,84.0,6397.0,1.0,No,20.0,Yes,1.0,1.0,6.0
279,1000280,No,375.0,Mobile,27895.0,1,1,Financial,96.0,16575.125,3.0,No,14.0,No,1.0,2.0,28.0
282,1000283,No,217.0,Mobile,15470.0,1,2,Financial,44.0,4554.0,1.0,No,18.0,No,1.0,0.0,10.0
283,1000284,No,412.0,Mobile,5145.0,20,2,Entertainment,37.0,5415.0,3.0,Yes,19.0,No,4.0,1.0,12.0
284,1000285,No,195.0,Mobile,17360.0,11,2,Medical,60.0,4741.0,1.0,Yes,13.0,No,3.0,1.0,5.0
285,1000286,No,277.0,Mobile,48020.0,1,3,Financial,42.0,2115.0,1.0,No,12.0,No,2.0,0.0,17.0
286,1000287,Yes,330.0,Mobile,32200.0,24,3,Financial,43.0,3161.0,3.0,Yes,22.0,Yes,4.0,1.0,19.0
288,1000289,Yes,195.0,Mobile,50715.0,16,4,Medical,45.0,2373.0,2.0,Yes,13.0,No,4.0,1.0,5.0
291,1000292,No,270.0,Mobile,17710.0,1,3,Entertainment,3.0,4485.0,4.0,No,12.0,No,4.0,0.0,10.0
293,1000294,Yes,195.0,Mobile,33250.0,1,4,Entertainment,48.0,5828.0,1.0,Yes,12.0,No,2.0,0.0,8.0
294,1000295,No,277.0,Mobile,31115.0,1,3,Medical,53.0,2326.0,1.0,Yes,12.0,No,3.0,3.0,4.0
296,1000297,Yes,92.5,Mobile,8050.0,1,3,Financial,54.0,1420.0,1.0,No,13.0,No,3.0,0.0,0.0
297,1000298,No,262.0,Mobile,43120.0,16,3,Entertainment,96.0,8020.0,0.0,No,15.0,No,3.0,2.0,12.0
